"id";"title";"pages";"year";"date";"url";"conference_name";"count"
128;"A Compliance Aware Software Defined Infrastructure.";"560-567";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.79";"IEEE SCC";0
129;"AWS-Net Traveler: Autonomic Web Services Framework for Autonomic Business Processes.";"270-272";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.34";"IEEE SCC";0
130;"A Granular Concurrency Control for Collaborative Scientific Workflow Composition.";"410-417";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.121";"IEEE SCC";0
131;"Preference-Based Discovery of Dynamically Generated Service Offers.";"338-345";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.12";"IEEE SCC";0
132;"Developing Services for Design Optimisation on the Grid.";"391-398";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358029";"IEEE SCC";0
133;"A Service-Oriented Analysis and Design Approach to Developing Adaptable Services.";"204-211";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.16";"IEEE SCC";0
134;"SQL Markup Language for Enterprise Integration.";"413-416";2004;"2011-10-26";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358032";"IEEE SCC";0
135;"A General Attribute based RBAC Model for Web Service.";"236-239";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.8";"IEEE SCC";0
136;"Reckoning Legislative Compliances with Service Oriented Architecture A Proposed Approach.";"16-23";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.77";"IEEE SCC";0
137;"Domain Decomposition for Applications Based on CFD-Grid .";"592-595";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358071";"IEEE SCC";0
138;"Applying Bargaining Game Theory to Web Services Negotiation.";"218-225";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.54";"IEEE SCC";0
139;"Towards an Automated Gap Analysis for E-Service Portfolios.";"274-281";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.93";"IEEE SCC";0
140;"An Enhanced QoS Prediction Approach for Service Selection.";"727-728";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.46";"IEEE SCC";0
141;"Correcting Interaction Mismatches for Business Processes.";"457-465";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.53";"IEEE SCC";0
142;"VLAB-C: A Cloud Service Platform for Collaborative Virtual Laboratory.";"829-835";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.112";"IEEE SCC";0
143;"Web Services based SOA for Next Generation Telecom Networks.";"520";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.117";"IEEE SCC";0
144;"Componentization of Business Process Layer in the SOA Reference Architecture.";"316-323";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.85";"IEEE SCC";0
145;"A Benchmark for Web Service Frameworks.";"233-242";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.9";"IEEE SCC";0
146;"Supporting Dynamic Updates of Componentized Service.";"699-700";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.113";"IEEE SCC";0
147;"Performance Antipatterns: Detection and Evaluation of Their Effects in the Cloud.";"758-765";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.103";"IEEE SCC";0
